# IEL
ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID
100	Spanish	at	5	a	a	a	52
101	Swedish	at	5	viːd	viːd	v iː d	46
102	Breton_ST	at	5	e, ẽn	e	e	52
103	Oriya	at	5	ṭhare	ʈʰare	ʈʰ a r e	48
104	Oriya	at	5	re	re	r e	57
105	Urdu	at	5	pəɾ, pɛ	pəɾ	p ə ɾ	55
106	Czech	at	5	pr̝̊ɪ	pr̝ɪ	p r̝ ɪ	55
107	Russian	at	5	u	u	u	52
108	Catalan	at	5	pər	pər	p ə r	55
109	Portuguese_ST	at	5	a	a	a	52
110	Swedish	at	5	po:	poː	p oː	56
111	Marathi	at	5	'wadzta	wadzta	w a d z t a	46
112	Armenian_Mod	at	5	um	um	u m	54
113	Armenian_Mod	at	5	in	in	i n	50
# 
114	Breton_ST	back	6	kɛjn	kɛjn	k ɛ j n	70
115	Catalan	back	6	əs'paʎʎə	əspaʎʎə	ə s p a ʎː ə	64
116	Danish	back	6	b̥ɛj	b̥ɛj	b̥ ɛ j	59
117	Dutch_List	back	6	rʏχ	rʏχ	r ʏ χ	58
118	English	back	6	bæk	bæk	b æ k	67
119	French	back	6	do	do	d o	65
120	German	back	6	'rijkn̩	rijkn̩	r i j k n̩	63
121	Greek_Mod	back	6	ˈplati	plati	p l a t i	62
122	Italian	back	6	'dɔsso	dɔsso	d ɔ sː o	71
123	Marathi	back	6	patʰ	patʰ	p a tʰ	61
124	Polish	back	6	'plɛʦɨ	plɛʦɨ	p l ɛ ʦ ɨ	62
125	Russian	back	6	spi'na	spina	s p i n a	64
126	Spanish	back	6	es'palda	espalda	e s p a l d a	64
127	Swedish	back	6	rʏg	rʏg	r ʏ g	58
128	Bihari	back	6	piʈa	piʈa	p i ʈ a	61
129	Bihari	back	6	ɖar	ɖar	ɖ a r	72
130	Oriya	back	6	piṭhi	piʈʰi	p i ʈʰ i	61
131	Urdu	back	6	kəməɾ	kəməɾ	k ə m ə ɾ	69
132	Catalan	back	6	əs'kɛnə	əskɛnə	ə s k ɛ n ə	73
133	Portuguese_ST	back	6	ˈkɔʃtɐʃ	kɔʃtɐʃ	k ɔ ʃ t ɐ ʃ	60
134	Armenian_Mod	back	6	meʧʰkʰ	meʧʰkʰ	m e ʧʰ kʰ	68
135	Czech	back	6	zaːda	zaːda	z aː d a	66
# 
136	Breton_ST	bad	7	fal	fal	f a l	82
137	Catalan	bad	7	mal	mal	m a l	81
138	Danish	bad	7	ɔn	ɔn	ɔ n	75
139	Dutch_List	bad	7	slɛχt	slɛχt	s l ɛ χ t	79
140	English	bad	7	bæd	bæd	b æ d	84
141	French	bad	7	mɔvɛ	mɔvɛ	m ɔ v ɛ	76
142	German	bad	7	ʃlɛçt	ʃlɛçt	ʃ l ɛ ç t	79
143	Greek_Mod	bad	7	kaˈko̞s	kako̞s	k a k o̞ s	78
144	Italian	bad	7	kat'tivo	kattivo	k a tː i v o	85
145	Marathi	bad	7	wa͜i:ʈ	wa͜iːʈ	w a͜iː ʈ	80
146	Polish	bad	7	zwɨ	zwɨ	z w ɨ	83
147	Portuguese_ST	bad	7	maw	maw	m a w	76
148	Russian	bad	7	plo'xoj	ploxoj	p l o x o j	82
149	Spanish	bad	7	'malo	malo	m a l o	81
150	Swedish	bad	7	ˈdoː.lɪ(ɡ)	doː.lɪɡ	d oː l ɪ ɡ	74
151	Armenian_Mod	bad	7	vɑt	vɑt	v ɑ t	80
152	Bihari	bad	7	khərap	kʰərap	kʰ ə r a p	77
153	Oriya	bad	7	khɔrap(ɔ)	kʰɔrapɔ	kʰ ɔ r a p ɔ	77
154	Urdu	bad	7	bʊɾɑ	bʊɾɑ	b ʊ ɾ ɑ	82
155	Swedish	bad	7	und	und	u n d	86
156	Swedish	bad	7	'ʉ:səl	ʉːsəl	ʉː s ə l	79
157	Urdu	bad	7	χəɾɑb	χəɾɑb	χ ə ɾ ɑ b	77
158	Czech	bad	7	zliː	zliː	z l iː	79
# 
159	Czech	bark	8	kuːra	kuːra	k uː r a	92
160	Catalan	bark	8	əs'kɔrsə	əskɔrsə	ə s k ɔ r s ə	95
161	Breton_ST	bark	8	rysk	rysk	r y s k	96
162	Danish	bark	8	b̥ɑːg̥ʰ	b̥ɑːg̥ʰ	b̥ ɑː g̥ʰ	88
163	Dutch_List	bark	8	sχɔrs	sχɔrs	s χ ɔ r s	95
164	English	bark	8	bɑ:k	bɑːk	b ɑː k	88
165	French	bark	8	ekɔʀs	ekɔʀs	e k ɔ ʀ s	92
166	German	bark	8	'rɪndə	rɪndə	r ɪ n d ə	93
167	Greek_Mod	bark	8	ðe̞ˈ(n)dro̞fluˌða	ðe̞ndro̞fluða	ð e̞ n d r o̞ f l u ð a	91
168	Italian	bark	8	'skɔrdza	skɔrdza	s k ɔ r d z a	95
169	Marathi	bark	8	sal	sal	s a l	94
170	Polish	bark	8	ˈkɔra	kɔra	k ɔ r a	92
171	Russian	bark	8	ko'ra	kora	k o r a	92
172	Spanish	bark	8	koɾ'teθa	koɾteθa	k o ɾ t e θ a	92
173	Swedish	bark	8	bark	bark	b a r k	87
174	Bihari	bark	8	chal	cʰal	cʰ a l	92
175	Oriya	bark	8	čheli	čheli	č h e l i	90
176	Oriya	bark	8	bɔkɔḷɔ	bɔkɔɭɔ	b ɔ k ɔ ɭ ɔ	88
177	Urdu	bark	8	ʧɑl	ʧɑl	ʧ ɑ l	92
178	German	bark	8	'bɔrkə	bɔrkə	b ɔ r k ə	87
179	Italian	bark	8	kor'tettʃa	kortetʧa	k o r t e t ʧ a	92
180	Armenian_Mod	bark	8	kɛˈʁɛv	kɛʁɛv	k ɛ ʁ ɛ v	92
181	Portuguese_ST	bark	8	ˈkaʃkɐ	kaʃkɐ	k a ʃ k ɐ	89
# 
182	German	because	9	va‿il	vail	v ai l	100
183	Breton_ST	because	9	pɛ'gwi:r	pɛgwiːr	p ɛ g w iː r	102
184	Marathi	because	9	'kaɾəɳ	kaɾəɳ	k a ɾ ə ɳ	98
185	Swedish	because	9	e'me:dan	emeːdan	e m eː d a n	97
186	Armenian_Mod	because	9	voɾovhɛˈtɛv	voɾovhɛtɛv	v o ɾ o v h ɛ t ɛ v	100
187	English	because	9	bɪkɒz	bɪkɒz	b ɪ k ɒ z	102
188	Oriya	because	9	karɔṇɔ	karɔɳɔ	k a r ɔ ɳ ɔ	98
189	Oriya	because	9	hetu	hetu	h e t u	104
190	Oriya	because	9	jogu	jogu	j o g u	105
191	Oriya	because	9	boli	boli	b o l i	106
192	Urdu	because	9	kjũ ke	kjuː#ke	k j uː # k e	103
193	Polish	because	9	bɔ	bɔ	b ɔ	101
194	Greek_Mod	because	9	ˌðiˈo̞ti	ðio̞ti	ð io̞ t i	99
# 
195	Czech	belly	10	br̝ɪxo	br̝ɪxo	b r̝ ɪ x o	112
196	English	belly	10	bɛlɪ	bɛlɪ	b ɛ l ɪ	112
197	Breton_ST	belly	10	ko:f	koːf	k oː f	116
198	Catalan	belly	10	'bentrə	bentrə	b e n t r ə	117
199	Danish	belly	10	b̥u	b̥u	b̥ u	108
200	Dutch_List	belly	10	bœyk	bœyk	b œy k	107
201	French	belly	10	vɑ̃tʀ	vɑ̃tʀ	v ɑ̃ t ʀ	113
202	German	belly	10	ba‿ux	baux	b au x	107
203	Greek_Mod	belly	10	ciˈʎa	ciʎa	c i ʎ a	111
204	Italian	belly	10	'vɛntre	vɛntre	v ɛ n t r e	118
205	Marathi	belly	10	poʈ	poʈ	p o ʈ	110
206	Polish	belly	10	bʒux	bʒux	b ʒ u x	115
207	Portuguese_ST	belly	10	ˈvẽtɾɨ	vẽtɾɨ	v ẽ t ɾ ɨ	109
208	Russian	belly	10	zi'vot	zivot	z i v o t	114
209	Swedish	belly	10	bʉ:k	bʉːk	b ʉː k	107
210	Bihari	belly	10	peʈ	peʈ	p e ʈ	110
211	Oriya	belly	10	peṭɔ	peʈɔ	p e ʈ ɔ	110
212	Urdu	belly	10	peʈ	peʈ	p e ʈ	110
213	Spanish	belly	10	ba'riɣa	bariɣa	b a r i ɣ a	112
214	Portuguese_ST	belly	10	bɐˈʁiɣɐ	bɐʁiɣɐ	b ɐ ʁ i ɣ ɐ	112
215	Catalan	belly	10	'panʃə, 'pantʃa	panʃə	p a n ʃ ə	117
# 
216	Armenian_Mod	big	11	mɛʦ	mɛʦ	m ɛ ʦ	122
217	Czech	big	11	vɛlkiː	vɛlkiː	v ɛ l k iː	125
218	Breton_ST	big	11	bʁaz	bʁaz	b ʁ a z	121
219	Catalan	big	11	gran	gran	g r a n	119
220	Danish	big	11	ˈsd̥ʰoɐ̯	sd̥ʰoɐ̯	s d̥ʰ oɐ̯	120
221	Dutch_List	big	11	ɣrot	ɣrot	ɣ r o t	119
222	English	big	11	bɪg	bɪg	b ɪ g	126
223	French	big	11	gʀɑ̃	gʀɑ̃	g ʀ ɑ̃	119
224	German	big	11	gro:s	groːs	g r oː s	119
225	Greek_Mod	big	11	me̞ˈɣalo̞s	me̞ɣalo̞s	m e̞ ɣ a l o̞ s	122
226	Italian	big	11	'grande	grande	g r a n d e	119
227	Marathi	big	11	'moʈʰə	moʈʰə	m o ʈʰ ə	124
228	Polish	big	11	ˈvʲɛlkʲi	vʲɛlkʲi	vʲ ɛ l kʲ i	125
229	Portuguese_ST	big	11	ˈɡɾɐ̃ðɨ	ɡɾɐ̃ðɨ	ɡ ɾ ɐ̃ ð ɨ	119
230	Russian	big	11	bolʲ'ʃoj	bolʲʃoj	b o lʲ ʃ o j	121
231	Spanish	big	11	'ɡɾande	ɡɾande	ɡ ɾ a n d e	119
232	Swedish	big	11	gru:v	gruːv	g r uː v	119
233	Bihari	big	11	nəmhər	nəmhər	n ə m h ə r	123
234	Oriya	big	11	bɔṛɔ	bɔɽɔ	b ɔ ɽ ɔ	121
235	Urdu	big	11	bəɽɛ	bəɽɛ	b ə ɽ ɛ	121
236	Russian	big	11	ve'likij	velikij	v e l i k i j	125
237	Breton_ST	big	11	møʁ	møʁ	m ø ʁ	127
238	Catalan	big	11	ʎaɾk	ʎaɾk	ʎ a ɾ k	128
# 
239	Armenian_Mod	bird	12	tʰərˈʧʰun	tʰərʧʰun	tʰ ə r ʧʰ u n	135
240	Czech	bird	12	ptaːk	ptaːk	p t aː k	134
241	Breton_ST	bird	12	'ẽwn	ẽwn	ẽ w n	137
242	Catalan	bird	12	u'seʎ	useʎ	u s e ʎ	138
243	Danish	bird	12	ful	ful	f u l	130
244	Dutch_List	bird	12	'voɣəl	voɣəl	v o ɣ ə l	136
245	English	bird	12	bɜ:d	bɜːd	b ɜː d	134
246	French	bird	12	wazo	wazo	w a z o	133
247	German	bird	12	'fo:gl̩	foːgl̩	f oː g l̩	129
248	Greek_Mod	bird	12	pu'li	puli	p u l i	130
249	Italian	bird	12	ut'tʃɛllo	utʧɛllo	u t ʧ ɛ lː o	139
250	Marathi	bird	12	pək'ʂi	pəkʂi	p ə k ʂ i	129
251	Polish	bird	12	ptak	ptak	p t a k	134
252	Portuguese_ST	bird	12	ˈavɨ	avɨ	a v ɨ	131
253	Russian	bird	12	'ptitsa	ptitsa	p t i t s a	134
254	Swedish	bird	12	'fo:gəl	foːgəl	f oː g ə l	129
255	Bihari	bird	12	cirəi	cirəi	c i r əi	132
256	Oriya	bird	12	pɔkhi	pɔkʰi	p ɔ kʰ i	129
257	Urdu	bird	12	pɾɪnd̪əh	pɾɪnd̪əh	p ɾ ɪ n d̪ ə h	130
258	Catalan	bird	12	mu'ʃo	muʃo	m u ʃ o	142
259	Breton_ST	bird	12	'la:bus	laːbus	l aː b u s	141
260	Spanish	bird	12	'paxaɾo	paxaɾo	p a x a ɾ o	129
261	Portuguese_ST	bird	12	ˈpasɐɾu	pasɐɾu	p a s ɐ ɾ u	140
# 
262	Armenian_Mod	bite	13	kəˈʦɛl	kəʦɛl	k ə ʦ ɛ l	152
263	Czech	bite	13	koʊ̯sat	koʊ̯sat	k oʊ̯ s a t	150
264	Breton_ST	bite	13	'krɛ:gĩn	krɛːgĩn	k r ɛː g ĩ n	151
265	Catalan	bite	13	musəˈɣa	musəɣa	m u s ə ɣ a	153
266	Danish	bite	13	ˈb̥iːðə	b̥iːðə	b̥ iː ð ə	143
267	Dutch_List	bite	13	'bɛitə(n)	bɛitən	b ɛi t ə n	143
268	English	bite	13	baɪt	baɪt	b aɪ t	143
269	French	bite	13	mɔʀdʀ	mɔʀdʀ	m ɔ ʀ d ʀ	144
270	German	bite	13	'ba‿isn̩	baisn̩	b ai s n̩	148
271	Greek_Mod	bite	13	ðaˈ(ŋ)ɡo̞no̞	ðaŋɡo̞no̞	ð a ŋ ɡ o̞ n o̞	146
272	Italian	bite	13	'mɔrdere	mɔrdere	m ɔ r d e r e	144
273	Polish	bite	13	ɡrɨɕʨ	ɡrɨɕʨ	ɡ r ɨ ɕ ʨ	151
274	Portuguese_ST	bite	13	muɾˈdeɾ	muɾdeɾ	m u ɾ d e ɾ	144
275	Russian	bite	13	'kusatʲ	kusatʲ	k u s a tʲ	150
276	Spanish	bite	13	moɾ'ðeɾ	moɾðeɾ	m o ɾ ð e ɾ	144
277	Swedish	bite	13	'bi:ta	biːta	b iː t a	143
278	Bihari	bite	13	kaʈəb	kaʈəb	k a ʈ ə b	147
279	Oriya	bite	13	kamuṛ-	kamuɽ	k a m u ɽ	145
280	Urdu	bite	13	kɑʈnə	kɑʈnə	k ɑ ʈ n ə	147
281	Catalan	bite	13	pi'ka	pika	p i k a	154
282	Breton_ST	bite	13	'dãntã	dãntã	d ã n t ã	146
283	Marathi	bite	13	'tsawa	tsawa	t s a w a	149
# 
284	Armenian_Mod	black	14	sɛv	sɛv	s ɛ v	155
285	Czech	black	14	tʃɛrniː	ʧɛrniː	ʧ ɛ r n iː	158
286	Breton_ST	black	14	dyː	dyː	d yː	162
287	Catalan	black	14	ˈnɛɣɾə, ˈneɣɾe	nɛɣɾə	n ɛ ɣ ɾ ə	157
288	Danish	black	14	sɒ:d̥ʰ	sɒːd̥ʰ	s ɒː d̥ʰ	156
289	Dutch_List	black	14	zwɑrt	zwɑrt	z w ɑ r t	155
290	English	black	14	blæk	blæk	b l æ k	161
291	French	black	14	nwaʀ	nwaʀ	n w a ʀ	160
292	German	black	14	ʃwart͜s	ʃwart͜s	ʃ w a r t͜s	155
293	Greek_Mod	black	14	ˈmavro̞s	mavro̞s	m a v r o̞ s	159
294	Italian	black	14	'nero	nero	n e r o	163
295	Marathi	black	14	'kaɭa	kaɭa	k a ɭ a	158
296	Polish	black	14	ˈʧarnɨ	ʧarnɨ	ʧ a r n ɨ	158
297	Portuguese_ST	black	14	'neɡɾu	neɡɾu	n e ɡ ɾ u	157
298	Russian	black	14	'tʃernɨj	ʧernɨj	ʧ e r n ɨ j	158
299	Spanish	black	14	'neɣɾo	neɣɾo	n e ɣ ɾ o	157
300	Swedish	black	14	svart, svaʈ	svart	s v a r t	155
301	Bihari	black	14	kari	kari	k a r i	158
302	Oriya	black	14	kɔḷa	kɔɭa	k ɔ ɭ a	158
303	Urdu	black	14	kɑlə	kɑlə	k ɑ l ə	158
304	Portuguese_ST	black	14	ˈpɾetu	pɾetu	p ɾ e t u	161
# 
305	Armenian_Mod	blood	15	ɑˈɾɪ̯un	ɑɾɪ̯un	ɑ ɾ ɪ̯u n	171
306	Czech	blood	15	krɛf	krɛf	k r ɛ f	170
307	German	blood	15	blu:t	bluːt	b l uː t	164
308	Breton_ST	blood	15	gwa:t	gwaːt	g w aː t	173
309	Catalan	blood	15	saŋ	saŋ	s a ŋ	168
310	Danish	blood	15	b̥loð	b̥loð	b̥ l o ð	164
311	Dutch_List	blood	15	blut	blut	b l u t	164
312	English	blood	15	blʌd	blʌd	b l ʌ d	164
313	French	blood	15	sɑ̃	sɑ̃	s ɑ̃	169
314	Greek_Mod	blood	15	ˈe̞ma	e̞ma	e̞ m a	167
315	Italian	blood	15	'sangwe	sangwe	s a n g w e	168
316	Marathi	blood	15	'ɾəktə	ɾəktə	ɾ ə k t ə	166
317	Polish	blood	15	krɛf	krɛf	k r ɛ f	170
318	Portuguese_ST	blood	15	ˈsɐ̃ɣɨ	sɐ̃ɣɨ	s ɐ̃ ɣ ɨ	165
319	Russian	blood	15	krovʲ	krovʲ	k r o vʲ	170
320	Spanish	blood	15	'saŋɡɾe	saŋɡɾe	s a ŋ ɡ ɾ e	168
321	Swedish	blood	15	blu:d	bluːd	b l uː d	164
322	Bihari	blood	15	sonit	sonit	s o n i t	168
323	Oriya	blood	15	rɔktɔ	rɔktɔ	r ɔ k t ɔ	166
324	Urdu	blood	15	χun	χun	χ u n	172
# 
325	Armenian_Mod	blow	16	pʰəˈʧʰɛl	pʰəʧʰɛl	pʰ ə ʧʰ ɛ l	178
326	Czech	blow	16	foʊ̯kat	foʊ̯kat	f oʊ̯ k a t	178
327	German	blow	16	've:ən	veːən	v eːə n	179
328	Greek_Mod	blow	16	fiˈso̞	fiso̞	f i s o̞	177
329	Italian	blow	16	sof'fjare	soffjare	s o fː j a r e	175
330	Portuguese_ST	blow	16	suˈpɾaɾ	supɾaɾ	s u p ɾ a ɾ	175
331	Russian	blow	16	dutʲ	dutʲ	d u tʲ	181
332	Spanish	blow	16	so'plaɾ	soplaɾ	s o p l a ɾ	175
333	Swedish	blow	16	'blo:sa	bloːsa	b l oː s a	174
334	Catalan	blow	16	bu'fa	bufa	b u f a	184
335	Breton_ST	blow	16	'xwe:zã	xweːzã	x w eː z ã	183
336	Danish	blow	16	ˈb̥lεːsə	b̥lɛːsə	b̥ l ɛː s ə	174
337	Dutch_List	blow	16	'wayə(n)	wayən	w ayə n	179
338	English	blow	16	bləʊ	bləʊ	b l əʊ	174
339	French	blow	16	sufle	sufle	s u f l e	175
340	Bihari	blow	16	phukəb	pʰukəb	pʰ u k ə b	178
341	Bihari	blow	16	surkəb	surkəb	s u r k ə b	185
342	Bihari	blow	16	hawa bəhəb	hawa#bəhəb	h a w a # b ə h ə b	186
343	Oriya	blow	16	bohiba	bohiba	b o h i b a	176
344	Urdu	blow	16	pʰũknə	pʰuːknə	pʰ uː k n ə	178
345	Dutch_List	blow	16	'blazə(n)	blazən	b l a z ə n	174
346	Polish	blow	16	ˈdmuxaʨ	dmuxaʨ	d m u x a ʨ	182
347	Marathi	blow	16	uɖ'ɳe	uɖɳe	u ɖ ɳ e	180
# 
348	Czech	bone	17	kost	kost	k o s t	193
349	Armenian_Mod	bone	17	vosˈkoɾ	voskoɾ	v o s k o ɾ	192
350	Breton_ST	bone	17	ˈaskɔrn	askɔrn	a s k ɔ r n	194
351	Catalan	bone	17	ɔs	ɔs	ɔ s	188
352	Danish	bone	17	b̥en	b̥en	b̥ e n	187
353	Dutch_List	bone	17	ben, bɔt	ben	b e n	187
354	English	bone	17	bəʊn	bəʊn	b əʊ n	187
355	French	bone	17	ɔs	ɔs	ɔ s	188
356	German	bone	17	'knɔxn̩	knɔxn̩	k n ɔ x n̩	191
357	Greek_Mod	bone	17	ˈko̞kaˌlo̞	ko̞kalo̞	k o̞ k a l o̞	190
358	Italian	bone	17	'ɔsso	ɔsso	ɔ sː o	188
359	Marathi	bone	17	haɖ	haɖ	h a ɖ	189
360	Polish	bone	17	kɔɕʨ	kɔɕʨ	k ɔ ɕ ʨ	193
361	Portuguese_ST	bone	17	ˈosu	osu	o s u	188
362	Russian	bone	17	kostʲ	kostʲ	k o s tʲ	193
363	Spanish	bone	17	'weso	weso	w e s o	192
364	Swedish	bone	17	beːn	beːn	b eː n	187
365	Bihari	bone	17	həɖɖi	həɖɖi	h ə ɖː i	189
366	Oriya	bone	17	haḍɔ	haɖɔ	h a ɖ ɔ	189
367	Urdu	bone	17	həɖːi	həɖːi	h ə ɖː i	189
368	Dutch_List	bone	17	ɣrat	ɣrat	ɣ r a t	195
# 
369	Bihari	breast	18	cuci	cuci	c u c i	198
370	Oriya	breast	18	dud	dud	d u d	196
371	Urdu	breast	18	pɪstɑn, sinə	pɪstɑn	p ɪ s t ɑ n	203
372	Italian	breast	18	'poppa	poppa	p o pː a	204
373	Italian	breast	18	mam'mɛlla	mammɛlla	m a mː ɛ lː a	205
374	French	breast	18	sɛ̃	sɛ̃	s ɛ̃	200
375	Polish	breast	18	pʲɛrɕ	pʲɛrɕ	pʲ ɛ r ɕ	202
376	Russian	breast	18	'grudʲ	grudʲ	g r u dʲ	201
377	Greek_Mod	breast	18	ˈstiθo̞s	stiθo̞s	s t i θ o̞ s	197
378	French	breast	18	mamɛl	mamɛl	m a m ɛ l	205
379	French	breast	18	tetɔ̃	tetɔ̃	t e t ɔ̃	196
380	Italian	breast	18	'tetta	tetta	t e tː a	196
381	Armenian_Mod	breast	18	kuɾʦkʰ	kuɾʦkʰ	k u ɾ ʦ kʰ	201
382	Spanish	breast	18	'peʧo	peʧo	p e ʧ o	199
# 
383	Armenian_Mod	breathe	19	ʃənˈʧʰɛl	ʃənʧʰɛl	ʃ ə n ʧʰ ɛ l	217
384	Czech	breathe	19	diːxat	diːxat	d iː x a t	215
